squad,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,season_start_year,season_end_year
vs Arsenal,26.0,26.7,40.1,38.0,418.0,3420.0,38.0,42.0,27.0,69.0,39.0,3.0,5.0,84.0,1.0,42.0,38.0,31.6,69.6,510.0,907.0,1.11,0.71,1.82,1.03,1.74,1.1,0.83,1.93,1.0,1.83,38.0,38.0,3420.0,88.0,2.32,197.0,113.0,56.9,6.0,6.0,26.0,4.0,10.5,4.0,3.0,0.0,1.0,0.0,0.0,13.0,4.0,66.8,0.33,-17.2,-0.45,215.0,604.0,35.6,960.0,134.0,41.4,35.6,339.0,61.1,44.8,510.0,38.0,7.5,37.0,0.97,12.9,337.0,133.0,39.5,8.87,3.5,0.12,0.29,16.1,8.0,0.11,0.0,1.0,11424.0,15090.0,75.7,202608.0,76723.0,5278.0,6079.0,86.8,4656.0,5577.0,83.5,1174.0,2519.0,46.6,26.0,-4.6,259.0,778.0,201.0,45.0,13335.0,1672.0,407.0,51.0,99.0,510.0,662.0,139.0,79.0,47.0,4.0,83.0,317.0,569.0,14.97,398.0,64.0,31.0,33.0,32.0,11.0,66.0,1.74,49.0,5.0,2.0,4.0,5.0,1.0,668.0,387.0,402.0,202.0,64.0,290.0,641.0,45.2,351.0,516.0,186.0,330.0,360.0,1028.0,841.0,21.0,19203.0,2933.0,7798.0,7683.0,3935.0,673.0,19197.0,587.0,260.0,44.3,249.0,42.4,10264.0,53994.0,26091.0,354.0,147.0,476.0,319.0,11310.0,901.0,0.0,456.0,354.0,83.0,4.0,4.0,4.0,1821.0,559.0,486.0,53.5,2022,2023
vs Aston Villa,26.0,26.5,50.6,38.0,418.0,3420.0,38.0,42.0,25.0,67.0,37.0,5.0,6.0,85.0,3.0,52.5,47.9,36.1,84.0,607.0,1323.0,1.11,0.66,1.76,0.97,1.63,1.38,0.95,2.33,1.26,2.21,38.0,38.0,3420.0,51.0,1.34,148.0,99.0,67.6,13.0,7.0,18.0,8.0,21.1,4.0,3.0,0.0,1.0,0.0,2.0,6.0,2.0,44.1,0.28,-4.9,-0.13,134.0,355.0,37.7,811.0,173.0,30.2,32.3,243.0,45.3,37.7,439.0,27.0,6.2,41.0,1.08,15.1,424.0,145.0,34.2,11.16,3.82,0.09,0.26,16.5,14.0,0.12,-10.5,-10.9,14277.0,18089.0,78.9,255169.0,89828.0,6523.0,7424.0,87.9,5885.0,6859.0,85.8,1554.0,2778.0,55.9,28.7,-11.1,321.0,1096.0,282.0,65.0,16219.0,1754.0,446.0,95.0,180.0,689.0,765.0,211.0,96.0,77.0,7.0,116.0,375.0,757.0,19.92,530.0,82.0,45.0,52.0,39.0,9.0,74.0,1.95,48.0,7.0,5.0,7.0,5.0,2.0,650.0,370.0,305.0,237.0,108.0,279.0,571.0,48.9,292.0,413.0,127.0,286.0,332.0,982.0,635.0,10.0,22020.0,2102.0,7107.0,9894.0,5219.0,870.0,22014.0,730.0,333.0,45.6,313.0,42.9,12332.0,62377.0,31979.0,425.0,184.0,486.0,320.0,14144.0,1306.0,3.0,508.0,403.0,116.0,3.0,4.0,2.0,1962.0,465.0,442.0,51.3,2022,2023
vs Bournemouth,31.0,26.6,59.9,38.0,418.0,3420.0,38.0,68.0,49.0,117.0,62.0,6.0,7.0,51.0,0.0,63.9,58.4,45.3,103.8,810.0,1988.0,1.79,1.29,3.08,1.63,2.92,1.68,1.19,2.87,1.54,2.73,38.0,38.0,3420.0,37.0,0.97,126.0,89.0,70.6,21.0,6.0,11.0,18.0,47.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,34.7,0.28,-2.3,-0.06,109.0,316.0,34.5,928.0,173.0,26.2,30.7,219.0,33.3,32.6,401.0,25.0,6.2,48.0,1.26,17.0,619.0,198.0,32.0,16.29,5.21,0.1,0.31,17.0,15.0,0.1,4.1,3.6,18709.0,22764.0,82.2,328529.0,107187.0,8431.0,9452.0,89.2,8068.0,9207.0,87.6,1777.0,2972.0,59.8,44.6,3.7,455.0,1615.0,430.0,95.0,20999.0,1700.0,403.0,54.0,126.0,930.0,732.0,271.0,139.0,73.0,3.0,65.0,395.0,1090.0,28.68,822.0,101.0,38.0,67.0,45.0,17.0,114.0,3.0,73.0,15.0,4.0,17.0,5.0,0.0,711.0,426.0,318.0,271.0,122.0,344.0,665.0,51.7,321.0,404.0,96.0,308.0,279.0,990.0,563.0,13.0,26820.0,2088.0,7398.0,11841.0,7803.0,1107.0,26813.0,697.0,350.0,50.2,256.0,36.7,16186.0,82870.0,42849.0,575.0,211.0,550.0,362.0,18578.0,1976.0,0.0,375.0,372.0,65.0,3.0,0.0,0.0,2160.0,539.0,521.0,50.8,2022,2023
vs Brentford,25.0,26.6,56.6,38.0,418.0,3420.0,38.0,43.0,30.0,73.0,41.0,2.0,2.0,61.0,1.0,49.9,48.7,36.8,85.5,741.0,1540.0,1.13,0.79,1.92,1.08,1.87,1.31,0.97,2.28,1.28,2.25,38.0,38.0,3420.0,58.0,1.53,155.0,98.0,67.1,9.0,14.0,15.0,9.0,23.7,8.0,7.0,1.0,0.0,12.5,2.0,8.0,2.0,54.6,0.31,-1.4,-0.04,157.0,546.0,28.8,887.0,183.0,41.4,36.3,285.0,62.8,44.7,531.0,34.0,6.4,53.0,1.39,15.7,557.0,195.0,35.0,14.66,5.13,0.07,0.21,18.4,12.0,0.09,-6.9,-7.7,15959.0,20073.0,79.5,264065.0,90402.0,7989.0,8970.0,89.1,6154.0,7254.0,84.8,1318.0,2713.0,48.6,37.2,-6.8,417.0,1368.0,363.0,84.0,18299.0,1713.0,403.0,63.0,112.0,781.0,715.0,214.0,103.0,73.0,5.0,61.0,343.0,999.0,26.29,764.0,68.0,54.0,74.0,28.0,11.0,76.0,2.0,51.0,7.0,6.0,9.0,2.0,1.0,583.0,330.0,275.0,221.0,87.0,248.0,512.0,48.4,264.0,354.0,86.0,268.0,291.0,874.0,822.0,11.0,24216.0,2369.0,6890.0,10625.0,6903.0,895.0,24214.0,689.0,346.0,50.2,253.0,36.7,13624.0,72302.0,37380.0,656.0,155.0,547.0,334.0,15840.0,1530.0,0.0,415.0,338.0,61.0,1.0,8.0,2.0,1975.0,618.0,665.0,48.2,2022,2023
vs Brighton,29.0,26.5,39.5,38.0,418.0,3420.0,38.0,47.0,34.0,81.0,41.0,6.0,8.0,92.0,1.0,50.2,43.7,33.7,77.4,527.0,1026.0,1.24,0.89,2.13,1.08,1.97,1.32,0.89,2.21,1.15,2.04,38.0,38.0,3420.0,72.0,1.89,225.0,157.0,70.7,12.0,8.0,18.0,5.0,13.2,6.0,6.0,0.0,0.0,0.0,1.0,3.0,4.0,66.8,0.28,-1.2,-0.03,202.0,663.0,30.5,1139.0,170.0,42.5,35.8,329.0,54.4,40.6,554.0,38.0,6.9,63.0,1.66,14.2,380.0,123.0,32.4,10.0,3.24,0.11,0.33,16.2,15.0,0.12,-3.2,-2.7,11658.0,15116.0,77.1,200962.0,76693.0,5500.0,6255.0,87.9,4775.0,5646.0,84.6,1061.0,2361.0,44.9,27.1,0.3,293.0,782.0,236.0,50.0,13420.0,1653.0,473.0,44.0,69.0,444.0,607.0,134.0,59.0,52.0,2.0,43.0,310.0,673.0,17.71,483.0,54.0,42.0,38.0,43.0,13.0,82.0,2.16,54.0,4.0,9.0,7.0,7.0,1.0,603.0,350.0,312.0,220.0,71.0,279.0,624.0,44.7,345.0,505.0,160.0,345.0,417.0,1020.0,777.0,25.0,19339.0,2866.0,7920.0,7496.0,4111.0,711.0,19331.0,646.0,295.0,45.7,266.0,41.2,10294.0,53241.0,26098.0,367.0,173.0,513.0,350.0,11532.0,1012.0,0.0,426.0,409.0,43.0,6.0,6.0,4.0,1875.0,387.0,444.0,46.6,2022,2023
vs Chelsea,32.0,26.6,41.0,38.0,418.0,3420.0,38.0,44.0,32.0,76.0,43.0,1.0,1.0,69.0,1.0,52.5,51.7,39.9,91.6,593.0,1203.0,1.16,0.84,2.0,1.13,1.97,1.38,1.05,2.43,1.36,2.41,38.0,38.0,3420.0,38.0,1.0,154.0,116.0,77.3,16.0,11.0,11.0,14.0,36.8,3.0,3.0,0.0,0.0,0.0,1.0,5.0,1.0,43.7,0.27,6.7,0.18,169.0,488.0,34.6,989.0,180.0,36.0,34.0,290.0,45.5,38.6,549.0,32.0,5.8,36.0,0.95,14.8,437.0,158.0,36.2,11.5,4.16,0.1,0.27,16.7,10.0,0.12,-8.5,-8.7,12591.0,16256.0,77.5,219610.0,84778.0,5875.0,6743.0,87.1,5133.0,6094.0,84.2,1242.0,2398.0,51.8,30.1,-7.9,321.0,967.0,240.0,59.0,14458.0,1748.0,456.0,41.0,83.0,591.0,744.0,182.0,105.0,35.0,1.0,50.0,404.0,751.0,19.76,543.0,59.0,47.0,52.0,34.0,16.0,70.0,1.84,45.0,4.0,5.0,10.0,4.0,2.0,733.0,429.0,373.0,260.0,100.0,352.0,732.0,48.1,380.0,474.0,145.0,329.0,374.0,1107.0,792.0,10.0,20668.0,2640.0,7410.0,8359.0,5105.0,760.0,20667.0,746.0,323.0,43.3,333.0,44.6,11149.0,58693.0,30130.0,416.0,167.0,545.0,407.0,12479.0,1188.0,1.0,468.0,378.0,50.0,1.0,3.0,1.0,1956.0,453.0,493.0,47.9,2022,2023
vs Crystal Palace,26.0,26.6,53.9,38.0,418.0,3420.0,38.0,46.0,32.0,78.0,42.0,4.0,4.0,83.0,3.0,48.1,44.9,34.5,79.4,590.0,1592.0,1.21,0.84,2.05,1.11,1.95,1.26,0.91,2.17,1.18,2.09,38.0,38.0,3420.0,40.0,1.05,135.0,96.0,71.1,15.0,12.0,11.0,16.0,42.1,3.0,1.0,1.0,1.0,50.0,1.0,5.0,2.0,41.2,0.29,3.2,0.08,139.0,373.0,37.3,1030.0,172.0,28.3,30.1,250.0,32.8,31.9,459.0,27.0,5.9,50.0,1.32,15.7,452.0,156.0,34.5,11.89,4.11,0.09,0.27,16.2,14.0,0.1,-2.1,-2.9,16316.0,20332.0,80.2,280950.0,99352.0,7628.0,8660.0,88.1,6712.0,7780.0,86.3,1522.0,2746.0,55.4,33.7,-2.5,339.0,1214.0,353.0,84.0,18512.0,1750.0,484.0,50.0,140.0,682.0,763.0,176.0,80.0,60.0,8.0,70.0,384.0,796.0,20.95,578.0,85.0,35.0,45.0,44.0,9.0,81.0,2.13,59.0,5.0,6.0,7.0,4.0,0.0,771.0,436.0,370.0,299.0,102.0,314.0,681.0,46.1,367.0,449.0,136.0,313.0,366.0,1137.0,659.0,13.0,24639.0,2382.0,7900.0,10905.0,6036.0,947.0,24635.0,622.0,251.0,40.4,281.0,45.2,14512.0,74733.0,38926.0,485.0,139.0,584.0,409.0,16193.0,1581.0,1.0,487.0,429.0,70.0,3.0,3.0,2.0,2130.0,578.0,496.0,53.8,2022,2023
vs Everton,28.0,26.5,57.4,38.0,418.0,3420.0,38.0,57.0,36.0,93.0,52.0,5.0,6.0,76.0,1.0,65.7,61.1,45.7,106.8,752.0,1678.0,1.5,0.95,2.45,1.37,2.32,1.73,1.2,2.93,1.61,2.81,38.0,38.0,3420.0,34.0,0.89,146.0,114.0,78.8,18.0,12.0,8.0,14.0,36.8,3.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,38.6,0.25,6.6,0.17,122.0,377.0,32.4,1012.0,240.0,25.9,29.9,270.0,42.6,36.6,551.0,39.0,7.1,53.0,1.39,14.1,570.0,179.0,31.4,15.0,4.71,0.09,0.29,16.4,15.0,0.11,-8.7,-9.1,17041.0,21204.0,80.4,293765.0,101614.0,7993.0,9020.0,88.6,7025.0,8188.0,85.8,1559.0,2848.0,54.7,36.3,-9.7,437.0,1295.0,358.0,101.0,19286.0,1864.0,438.0,51.0,153.0,758.0,846.0,238.0,90.0,66.0,2.0,54.0,393.0,1017.0,26.76,737.0,97.0,51.0,74.0,42.0,16.0,99.0,2.61,67.0,2.0,8.0,12.0,9.0,1.0,596.0,365.0,270.0,258.0,68.0,296.0,601.0,49.3,305.0,384.0,122.0,262.0,275.0,871.0,727.0,14.0,25326.0,2438.0,8031.0,11022.0,6477.0,1025.0,25320.0,694.0,302.0,43.5,309.0,44.5,14664.0,76078.0,40728.0,496.0,212.0,582.0,399.0,16932.0,1670.0,0.0,400.0,382.0,54.0,5.0,3.0,2.0,2092.0,613.0,582.0,51.3,2022,2023
vs Fulham,29.0,26.7,51.3,38.0,418.0,3420.0,38.0,51.0,30.0,81.0,44.0,7.0,8.0,57.0,5.0,63.8,57.9,43.1,101.0,559.0,1406.0,1.34,0.79,2.13,1.16,1.95,1.68,1.13,2.81,1.52,2.66,38.0,38.0,3420.0,55.0,1.45,145.0,90.0,65.5,16.0,7.0,15.0,9.0,23.7,9.0,5.0,3.0,1.0,37.5,1.0,10.0,3.0,52.1,0.31,0.1,0.0,139.0,430.0,32.3,1031.0,174.0,31.1,31.2,248.0,44.0,37.5,604.0,39.0,6.5,29.0,0.76,13.3,497.0,188.0,37.8,13.08,4.95,0.09,0.23,16.7,20.0,0.12,-12.8,-13.9,15001.0,19010.0,78.9,262050.0,93178.0,6992.0,8025.0,87.1,6190.0,7186.0,86.1,1459.0,2750.0,53.1,34.5,-13.1,361.0,1114.0,331.0,83.0,17219.0,1703.0,438.0,76.0,137.0,608.0,720.0,204.0,94.0,66.0,1.0,88.0,368.0,878.0,23.11,639.0,65.0,53.0,63.0,50.0,8.0,87.0,2.29,55.0,3.0,7.0,14.0,8.0,0.0,618.0,363.0,281.0,258.0,79.0,239.0,511.0,46.8,272.0,447.0,116.0,331.0,340.0,958.0,754.0,9.0,23237.0,2494.0,7912.0,10258.0,5262.0,887.0,23229.0,681.0,286.0,42.0,299.0,43.9,13030.0,65884.0,33016.0,353.0,166.0,541.0,326.0,14833.0,1390.0,1.0,419.0,392.0,88.0,8.0,9.0,3.0,2070.0,550.0,511.0,51.8,2022,2023
vs Leeds United,29.0,26.7,53.1,38.0,418.0,3420.0,38.0,77.0,50.0,127.0,72.0,5.0,6.0,66.0,3.0,67.2,62.5,49.9,112.5,596.0,1469.0,2.03,1.32,3.34,1.89,3.21,1.77,1.31,3.08,1.65,2.96,38.0,38.0,3420.0,48.0,1.26,143.0,97.0,67.1,21.0,10.0,7.0,10.0,26.3,3.0,1.0,1.0,1.0,50.0,0.0,9.0,3.0,41.1,0.28,-3.9,-0.1,153.0,492.0,31.1,987.0,204.0,36.8,33.9,285.0,45.3,37.8,520.0,35.0,6.7,43.0,1.13,14.1,522.0,180.0,34.5,13.74,4.74,0.14,0.4,16.5,19.0,0.12,9.8,9.5,15111.0,19538.0,77.3,269802.0,96986.0,6666.0,7739.0,86.1,6577.0,7786.0,84.5,1516.0,2885.0,52.5,35.8,0.1,381.0,1172.0,287.0,58.0,17541.0,1911.0,492.0,69.0,131.0,612.0,866.0,182.0,87.0,61.0,6.0,86.0,450.0,921.0,24.24,640.0,88.0,72.0,60.0,49.0,12.0,140.0,3.68,98.0,4.0,21.0,8.0,7.0,2.0,749.0,427.0,379.0,292.0,78.0,328.0,596.0,55.0,268.0,509.0,140.0,369.0,391.0,1140.0,740.0,13.0,24304.0,2447.0,8102.0,10849.0,5573.0,872.0,24298.0,973.0,451.0,46.4,412.0,42.3,13328.0,67350.0,33950.0,423.0,189.0,630.0,428.0,14978.0,1455.0,1.0,422.0,453.0,86.0,5.0,3.0,3.0,2255.0,607.0,586.0,50.9,2022,2023
vs Leicester City,28.0,26.6,52.4,38.0,418.0,3420.0,38.0,63.0,46.0,109.0,59.0,4.0,5.0,64.0,2.0,63.4,59.9,48.0,107.9,721.0,1575.0,1.66,1.21,2.87,1.55,2.76,1.67,1.26,2.93,1.58,2.84,38.0,38.0,3420.0,51.0,1.34,148.0,96.0,67.6,22.0,7.0,9.0,12.0,31.6,6.0,3.0,3.0,0.0,50.0,2.0,4.0,2.0,44.9,0.27,-4.1,-0.11,200.0,484.0,41.3,1047.0,187.0,34.1,32.6,228.0,55.7,43.9,380.0,31.0,8.2,59.0,1.55,16.4,567.0,173.0,30.5,14.92,4.55,0.1,0.34,17.2,21.0,0.11,-0.4,-0.9,16629.0,20664.0,80.5,291365.0,98077.0,7582.0,8521.0,89.0,6972.0,8068.0,86.4,1633.0,2896.0,56.4,35.5,-2.0,418.0,1310.0,334.0,81.0,18816.0,1770.0,461.0,75.0,157.0,712.0,756.0,236.0,129.0,58.0,5.0,78.0,402.0,986.0,25.95,713.0,84.0,51.0,71.0,50.0,17.0,106.0,2.79,81.0,4.0,6.0,5.0,7.0,3.0,558.0,336.0,263.0,217.0,78.0,245.0,536.0,45.7,291.0,475.0,112.0,363.0,339.0,897.0,600.0,16.0,24725.0,2155.0,7422.0,11141.0,6380.0,917.0,24720.0,771.0,361.0,46.8,308.0,39.9,13966.0,74211.0,38197.0,547.0,177.0,517.0,392.0,16475.0,1559.0,2.0,410.0,395.0,78.0,3.0,6.0,2.0,2119.0,558.0,512.0,52.1,2022,2023
