time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,correct_year
2023-12-10 22:00:00,Strasbourg,2,Le Havre,1,2023,2024,2023
2023-12-10 22:00:00,Metz,0,Brest,1,2023,2024,2023
2023-12-10 22:00:00,Clermont,0,Lille,0,2023,2024,2023
2023-12-11 00:05:00,Lyon,3,Toulouse,0,2023,2024,2023
2023-12-11 03:45:00,Lorient,2,Marseille,4,2023,2024,2023
2023-12-16 04:00:00,Monaco,0,Lyon,1,2023,2024,2023
2023-12-17 00:00:00,Le Havre,3,Nice,1,2023,2024,2023
2023-12-17 04:00:00,Lens,2,Reims,0,2023,2024,2023
2023-12-17 20:00:00,Nantes,0,Brest,2,2023,2024,2023
2023-12-17 22:00:00,Toulouse,0,Rennes,0,2023,2024,2023
2023-12-17 22:00:00,Metz,0,Montpellier,1,2023,2024,2023
2023-12-17 22:00:00,Lorient,1,Strasbourg,2,2023,2024,2023
2023-12-18 00:05:00,Marseille,2,Clermont,1,2023,2024,2023
2023-12-18 03:45:00,Lille,1,PSG,1,2023,2024,2023
2023-12-21 04:00:00,Brest,4,Lorient,0,2023,2024,2023
2023-12-21 04:00:00,Clermont,1,Rennes,3,2023,2024,2023
2023-12-21 04:00:00,Lyon,1,Nantes,0,2023,2024,2023
2023-12-21 04:00:00,Montpellier,1,Marseille,1,2023,2024,2023
2023-12-21 04:00:00,PSG,3,Metz,1,2023,2024,2023
2023-12-21 04:00:00,Reims,1,Le Havre,0,2023,2024,2023
2023-12-21 04:00:00,Strasbourg,2,Lille,1,2023,2024,2023
2023-12-21 04:00:00,Toulouse,1,Monaco,2,2023,2024,2023
2023-12-21 04:00:00,Nice,2,Lens,0,2023,2024,2023
2024-01-13 04:00:00,Marseille,1,Strasbourg,1,2023,2024,2024
2024-01-14 00:00:00,Monaco,1,Reims,3,2023,2024,2024
2024-01-14 04:00:00,Rennes,2,Nice,0,2023,2024,2024
2024-01-14 20:00:00,Lille,3,Lorient,0,2023,2024,2024
2024-01-14 22:00:00,Nantes,1,Clermont,2,2023,2024,2024
2024-01-14 22:00:00,Metz,0,Toulouse,1,2023,2024,2024
2024-01-14 22:00:00,Brest,2,Montpellier,0,2023,2024,2024
2024-01-15 00:05:00,Le Havre,3,Lyon,1,2023,2024,2024
2024-01-15 03:45:00,Lens,0,PSG,2,2023,2024,2024
2024-01-27 04:00:00,Lyon,2,Rennes,3,2023,2024,2024
2024-01-28 00:00:00,Nice,1,Metz,0,2023,2024,2024
2024-01-28 04:00:00,Marseille,2,Monaco,2,2023,2024,2024
2024-01-28 20:00:00,Montpellier,0,Lille,0,2023,2024,2024
2024-01-28 22:00:00,Reims,0,Nantes,0,2023,2024,2024
2024-01-28 22:00:00,Lorient,3,Le Havre,3,2023,2024,2024
2024-01-28 22:00:00,Clermont,1,Strasbourg,1,2023,2024,2024
2024-01-29 00:05:00,Toulouse,0,Lens,2,2023,2024,2024
2024-01-29 03:45:00,PSG,2,Brest,2,2023,2024,2024
2024-02-03 04:00:00,Strasbourg,1,PSG,2,2023,2024,2024
2024-02-04 00:00:00,Rennes,2,Montpellier,1,2023,2024,2024
2024-02-04 04:00:00,Nantes,0,Lens,1,2023,2024,2024
2024-02-04 20:00:00,Monaco,1,Le Havre,1,2023,2024,2024
2024-02-04 22:00:00,Lille,4,Clermont,0,2023,2024,2024
2024-02-04 22:00:00,Metz,1,Lorient,2,2023,2024,2024
2024-02-04 22:00:00,Reims,2,Toulouse,3,2023,2024,2024
2024-02-05 00:05:00,Brest,0,Nice,0,2023,2024,2024
2024-02-05 03:45:00,Lyon,1,Marseille,0,2023,2024,2024
2024-02-10 04:00:00,Marseille,1,Metz,1,2023,2024,2024
2024-02-11 00:00:00,Lens,3,Strasbourg,1,2023,2024,2024
2024-02-11 04:00:00,PSG,3,Lille,1,2023,2024,2024
2024-02-11 20:00:00,Le Havre,0,Rennes,1,2023,2024,2024
2024-02-11 22:00:00,Toulouse,1,Nantes,2,2023,2024,2024
2024-02-11 22:00:00,Lorient,2,Reims,0,2023,2024,2024
2024-02-11 22:00:00,Clermont,1,Brest,1,2023,2024,2024
2024-02-12 00:05:00,Montpellier,1,Lyon,2,2023,2024,2024
2024-02-12 03:45:00,Nice,2,Monaco,3,2023,2024,2024
2024-02-17 04:00:00,Lyon,1,Nice,0,2023,2024,2024
2024-02-18 00:00:00,Lille,3,Le Havre,0,2023,2024,2024
2024-02-18 04:00:00,Nantes,0,PSG,2,2023,2024,2024
2024-02-18 20:00:00,Strasbourg,1,Lorient,3,2023,2024,2024
2024-02-18 22:00:00,Montpellier,3,Metz,0,2023,2024,2024
2024-02-18 22:00:00,Monaco,1,Toulouse,2,2023,2024,2024
2024-02-18 22:00:00,Rennes,3,Clermont,1,2023,2024,2024
2024-02-19 00:05:00,Reims,1,Lens,1,2023,2024,2024
2024-02-19 03:45:00,Brest,1,Marseille,0,2023,2024,2024
2024-02-24 04:00:00,Metz,1,Lyon,2,2023,2024,2024
2024-02-25 00:00:00,Lorient,0,Nantes,1,2023,2024,2024
2024-02-25 04:00:00,Strasbourg,0,Brest,3,2023,2024,2024
2024-02-25 20:00:00,Lens,2,Monaco,3,2023,2024,2024
2024-02-25 22:00:00,Toulouse,3,Lille,1,2023,2024,2024
2024-02-25 22:00:00,Nice,0,Clermont,0,2023,2024,2024
2024-02-25 22:00:00,Le Havre,1,Reims,2,2023,2024,2024
2024-02-26 00:05:00,PSG,1,Rennes,1,2023,2024,2024
2024-02-26 03:45:00,Marseille,4,Montpellier,1,2023,2024,2024
2024-03-02 04:00:00,Monaco,0,PSG,0,2023,2024,2024
2024-03-03 00:00:00,Reims,0,Lille,1,2023,2024,2024
2024-03-03 04:00:00,Clermont,1,Marseille,5,2023,2024,2024
2024-03-03 20:00:00,Toulouse,2,Nice,1,2023,2024,2024
2024-03-03 22:00:00,Nantes,0,Metz,2,2023,2024,2024
2024-03-03 22:00:00,Montpellier,2,Strasbourg,2,2023,2024,2024
2024-03-03 22:00:00,Brest,1,Le Havre,0,2023,2024,2024
2024-03-04 00:05:00,Rennes,1,Lorient,2,2023,2024,2024
2024-03-04 03:45:00,Lyon,0,Lens,3,2023,2024,2024
2024-03-09 04:00:00,Nice,1,Montpellier,2,2023,2024,2024
2024-03-10 00:00:00,Lorient,0,Lyon,2,2023,2024,2024
2024-03-10 04:00:00,Lens,1,Brest,0,2023,2024,2024
2024-03-10 20:00:00,PSG,2,Reims,2,2023,2024,2024
