time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,year,weekday,month,day,hour,minute
2021-08-14 02:30:00,B. Monchengladbach,1,Bayern Munich,1,2021,2022,2021,5,8,14,2,30
2021-08-14 21:30:00,Arminia Bielefeld,0,Freiburg,0,2021,2022,2021,5,8,14,21,30
2021-08-14 21:30:00,Augsburg,0,Hoffenheim,4,2021,2022,2021,5,8,14,21,30
2021-08-14 21:30:00,Wolfsburg,1,Bochum,0,2021,2022,2021,5,8,14,21,30
2021-08-14 21:30:00,Union Berlin,1,Bayer Leverkusen,1,2021,2022,2021,5,8,14,21,30
2021-08-14 21:30:00,Stuttgart,5,Greuther Furth,1,2021,2022,2021,5,8,14,21,30
2021-08-15 00:30:00,Dortmund,5,Eintracht Frankfurt,2,2021,2022,2021,6,8,15,0,30
2021-08-15 21:30:00,Mainz,1,RB Leipzig,0,2021,2022,2021,6,8,15,21,30
2021-08-15 23:30:00,FC Koln,3,Hertha Berlin,1,2021,2022,2021,6,8,15,23,30
2021-08-21 02:30:00,RB Leipzig,4,Stuttgart,0,2021,2022,2021,5,8,21,2,30
2021-08-21 21:30:00,Hertha Berlin,1,Wolfsburg,2,2021,2022,2021,5,8,21,21,30
2021-08-21 21:30:00,Greuther Furth,1,Arminia Bielefeld,1,2021,2022,2021,5,8,21,21,30
2021-08-21 21:30:00,Freiburg,2,Dortmund,1,2021,2022,2021,5,8,21,21,30
2021-08-21 21:30:00,Eintracht Frankfurt,0,Augsburg,0,2021,2022,2021,5,8,21,21,30
2021-08-21 21:30:00,Bochum,2,Mainz,0,2021,2022,2021,5,8,21,21,30
2021-08-22 00:30:00,Bayer Leverkusen,4,B. Monchengladbach,0,2021,2022,2021,6,8,22,0,30
2021-08-22 21:30:00,Hoffenheim,2,Union Berlin,2,2021,2022,2021,6,8,22,21,30
2021-08-22 23:30:00,Bayern Munich,3,FC Koln,2,2021,2022,2021,6,8,22,23,30
2021-08-28 02:30:00,Dortmund,3,Hoffenheim,2,2021,2022,2021,5,8,28,2,30
2021-08-28 21:30:00,Stuttgart,2,Freiburg,3,2021,2022,2021,5,8,28,21,30
2021-08-28 21:30:00,Mainz,3,Greuther Furth,0,2021,2022,2021,5,8,28,21,30
2021-08-28 21:30:00,FC Koln,2,Bochum,1,2021,2022,2021,5,8,28,21,30
2021-08-28 21:30:00,Augsburg,1,Bayer Leverkusen,4,2021,2022,2021,5,8,28,21,30
2021-08-28 21:30:00,Arminia Bielefeld,1,Eintracht Frankfurt,1,2021,2022,2021,5,8,28,21,30
2021-08-29 00:30:00,Bayern Munich,5,Hertha Berlin,0,2021,2022,2021,6,8,29,0,30
2021-08-29 21:30:00,Union Berlin,2,B. Monchengladbach,1,2021,2022,2021,6,8,29,21,30
2021-08-29 23:30:00,Wolfsburg,1,RB Leipzig,0,2021,2022,2021,6,8,29,23,30
2021-09-11 21:30:00,Union Berlin,0,Augsburg,0,2021,2022,2021,5,9,11,21,30
2021-09-11 21:30:00,Hoffenheim,0,Mainz,2,2021,2022,2021,5,9,11,21,30
2021-09-11 21:30:00,Greuther Furth,0,Wolfsburg,2,2021,2022,2021,5,9,11,21,30
